source,group,repository,revision,sample_offset_or_method,row_id,task_grounding,substantive_progress,evidence_and_correction,ending_and_handoff,training_signal,total,severe_defects,source_median,source_grade
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,153,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,154,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_crosscodeeval-csharp-v4,Penfever MiniMax M27 131K,open-athena/exp_rpt_crosscodeeval-csharp-v4-minimax-m27-131k-traces,092d1aa,145,155,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,268,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,269,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,270,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,271,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,272,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,273,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,274,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,275,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,276,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-easy,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-easy-minimax-m27-131k-traces,92957da,268,277,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,449,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,450,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,451,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,452,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,453,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,454,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,455,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,456,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,457,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_curriculum-medium,Penfever MiniMax M27 131K,open-athena/exp_rpt_curriculum-medium-minimax-m27-131k-traces,38a5cc5,449,458,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,211,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,212,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,213,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,214,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,215,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,216,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,217,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,218,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,219,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-v2-minimax-m27-131k-traces,af182d6,211,220,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2763,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2764,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2765,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2766,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2767,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2769,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2770,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2771,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2772,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_e2egit-large,Penfever MiniMax M27 131K,open-athena/exp_rpt_e2egit-large-minimax-m27-131k-traces,a7f3b86,2763,2773,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3950,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3951,2,2,0,2,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3952,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3953,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3954,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3955,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3956,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3957,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3958,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_ghactions-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_ghactions-v3-minimax-m27-131k-traces,cb935e9,3950,3959,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2620,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2621,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2622,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2623,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2624,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2625,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2626,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2627,2,2,0,1,1,6,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2628,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v2,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v2-minimax-m27-131k-traces,e7760f2,2620,2629,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3235,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3236,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3237,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3238,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3239,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3240,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3241,2,2,2,2,1,9,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3242,2,2,1,2,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3243,2,2,1,1,1,7,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_methods2test-large-v3,Penfever MiniMax M27 131K,open-athena/exp_rpt_methods2test-large-v3-minimax-m27-131k-traces,7d1d3c8,3235,3244,2,2,2,1,1,8,,8.0,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3458,2,2,0,2,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3459,2,2,0,2,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3460,2,2,0,1,1,6,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3461,2,2,0,2,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3462,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3463,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3464,2,2,0,2,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3465,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3466,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-junit,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-junit-minimax-m27-131k-traces,58bc65f,3458,3467,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-cpp,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-cpp-minimax-m27-131k-traces,57234a0,3117,3117,2,2,1,2,1,8,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-cpp,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-cpp-minimax-m27-131k-traces,57234a0,3117,3118,2,2,0,2,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-cpp,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-cpp-minimax-m27-131k-traces,57234a0,3117,3119,2,2,1,1,1,7,,7.5,B
penfever-traces/minimax-m27-131k/exp_rpt_nemotron-cpp,Penfever MiniMax M27 131K,open-athena/exp_rpt_nemotron-cpp-minimax-m27-131k-traces,57234a0,3117,3120,2,2,1,2,1,8,,7.5,B
